season,champion_abbrev,runner_up_abbrev
1960,BOS,STL
1961,BOS,STL
1962,BOS,LAL
1963,BOS,LAL
1964,BOS,SFW
1965,BOS,LAL
1966,BOS,LAL
1967,PHI,SFW
1968,BOS,LAL
1969,BOS,LAL
1970,NYK,LAL
1971,MIL,BAL
1972,LAL,NYK
1973,NYK,LAL
1974,BOS,MIL
1975,GSW,WSB
1976,BOS,PHX
1977,POR,PHI
1978,WSB,SEA
1979,SEA,WSB
1980,LAL,PHI
1981,BOS,HOU
1982,LAL,PHI
1983,PHI,LAL
1984,BOS,LAL
1985,LAL,BOS
1986,BOS,HOU
1987,LAL,BOS
1988,LAL,DET
1989,DET,LAL
1990,DET,POR
1991,CHI,LAL
1992,CHI,POR
1993,CHI,PHX
1994,HOU,NYK
1995,HOU,ORL
1996,CHI,SEA
1997,CHI,UTA
1998,CHI,UTA
1999,SAS,NYK
2000,LAL,IND
2001,LAL,PHI
2002,LAL,NJN
2003,SAS,NJN
2004,DET,LAL
2005,SAS,DET
2006,MIA,DAL
2007,SAS,CLE
2008,BOS,LAL
2009,LAL,ORL
2010,LAL,BOS
2011,DAL,MIA
2012,MIA,OKC
2013,MIA,SAS
2014,SAS,MIA
2015,GSW,CLE
2016,CLE,GSW
2017,GSW,CLE
2018,GSW,CLE
2019,TOR,GSW
2020,LAL,MIA
2021,MIL,PHO
2022,GSW,BOS
2023,DEN,MIA
2024,BOS,DAL
2025,OKC,IND
